#,Name,Value,Description,Package,Manufacture,Manufacturer Part Number,Designator,Qty,Type,,
1,SMD-LED,GREEN,general LED green,LED-0603,Lite-On,LTST-C193TGKT-5A,"3.3V, BUSY1, BUSY2, BUSY3, BUSY4",5,SMD,,
2,MLCC,4.7uF/100V,4.7uF / 20% / 100V / X5R,C1210,Taiyo Yuden,HMK325C7475KMHPE,"C1, C2",2,SMD,,updated
3,MLCC,47uF/6.3V,47uF / 20% / 6.3V / X5R,C1206,Samsung Electro-Mechanics,CL31A476MQHNNNE,"C11, C12, C25, C26",4,SMD,,updated
4,MLCC,10uF/10V,10uF / 20% / 10V / X5R,C0805,Samsung Electro-Mechanics,CL21A106KOQNNNG,C14,1,SMD,,
5,MLCC,1uF/6.3V,1uF / 20% / 6.3V / X5R,C0603,Samsung Electro-Mechanics,CL10A105KO8NNNC,"C17, C18, C19, C20, C39, C40, C69, C70",8,SMD,,
6,MLCC,4.7uF/6.3V,4.7uF / 20% / 6.3V / X5R,C0603,Samsung Electro-Mechanics,CL10A475KQ8NNNC,C29,1,SMD,,
7,MLCC,100nF/100V,100nF / 20% / 100V / X5R,C0805,Samsung Electro-Mechanics,CL21B104KCFNNNE,"C3, C57, C58, C87, C88",5,SMD,,
8,MLCC,10nF/25V,10nF / 20% / 25V / X5R ,C0402,Walsin Tech Corp,0402B103K250,"C30, C35",2,SMD,,
9,MLCC,22nF 50V,22nF / 20% / 50V / X5R,C0402,Walsin Tech Corp,0402F223Z500CT,C34,1,SMD,,
10,MLCC,6.8nF/25V,6.8nF / 20% / 25V / X5R ,C0402,Walsin Tech Corp,0402B682K500CT,"C36, C37",2,SMD,,
11,MLCC,100nF/50V,100nF / 20% / 50V / X5R,C0603,Walsin Tech Corp,0603B104K500CT,"C4, C8",2,SMD,,
12,MLCC,47nF/50V,47nF / 20% / 50V / X5R,C0805,YAGEO,CC0805KRX7R9BB473,"C41, C42, C71, C72",4,SMD,,updated
13,MLCC,220nF/100V,220nF / 20% / 100V / X5R,C0805,YAGEO,CC0805KKX7R0BB224,"C43, C44, C47, C48, C49, C50, C51, C53, C73, C74, C77, C78, C79, C80, C81, C83",16,SMD,,updated
14,MLCC,100nF / 25V,100nF / 20% / 25V / X5R,C0402,Samsung Electro-Mechanics,CL05A104KA5NNNC,"C5, C9, C10, C13, C15, C16, C21, C22, C23, C24, C27, C28, C31, C38, C45, C46, C55, C56, C75, C76, C85, C86",22,SMD,,updated
15,MLCC,470nF/25V,470nF / 20% / 25V / X5R ,C0603,Samsung Electro-Mechanics,CL10B474KA8NNNC,"C52, C54, C61, C62, C82, C84, C91, C92",8,SMD,,
16,Chemical Capacitor,100uF/100V,100uF / 20% / 100V,"E5-10,5",Rubycon,100PX100MEFC10X16,"C59, C60, C63, C64, C89, C90, C93, C94",8,THT,,
17,MLCC,22pF/50V,22pF / 10% / 50V / X5R,C0402,Walsin Tech Corp,0402N220J500,"C6, C7, C32, C33",4,SMD,,
18,MLCC,220nF/6.3V,220nF / 20% / 6.3V / X5R,C0402,YAGEO,CC0402KRX5R5BB224,"C65, C66, C95, C96",4,SMD,,updated
19,MLCC,22uF/6.3V,22uF / 20% / 6.3V / X5R,C0805,Samsung Electro-Mechanics,CL21A226MQQNNNE,"C67, C68, C97, C98",4,SMD,,
20,Shrouded header,"2.5mm, 3P",B3B-XASK-1,B3B-XASK-1,JST,B03B-XASK-1(LF)(SN),"CN1, CN2, CN3, CN4, CN5, CN6, CN9, CN10",8,THT,,
21,Shrouded header,"2.5mm, 4P",B4B-XASK-1,B4B-XASK-1,JST,B04B-XASK-1(LF)(SN),"CN7, CN8, CN11, CN12",4,THT,NO mount,
22,Zener Diode,"5.6V, 300mW",5.6V ±7% 300mW ,SOD-323,ON Semiconductor,MM3Z5V6T1G,D1,1,SMD,,
23,Schottky diode,100V 2A,"100V, 2A",DO-214AC,Guangdong Hottech,SS210A,D2,1,SMD,,
